item_sizes,bin_capacity,optimal_bins
5 3 2 3 5 2 6 10 7 8,12,5
10 7 9 8 3 9 4 2 7 2,10,7
8 3 4 6 1 5 8 7 1 1,11,4
9 9 9 8 4 7 8 1 7 2,10,8
6 9 2 5 6 7 7 1 4 10,12,5
7 2 8 3 5 4 9 2 9 6,11,5
10 6 1 3 6 2 5 3 4 1,10,5
5 3 4 2 3 10 10 9 5 2,10,6
9 4 1 7 6 5 1 7 2 9,10,6
3 1 9 4 9 3 6 7 2 8,9,6
4 5 6 2 7 5 10 4 8 5,11,6
8 5 6 4 7 5 3 4 1 10,11,5
4 9 9 10 10 5 5 1 5 6,10,7
7 2 2 8 3 5 1 4 6 9,12,4
8 7 3 7 2 4 6 2 10 8,12,6
9 3 6 9 1 1 5 5 10 8,10,6
6 1 3 6 1 10 7 10 7 7,12,6
2 6 4 6 8 10 3 1 1 7,12,4
7 8 1 2 4 3 9 2 3 9,11,5
1 5 3 2 9 8 10 9 4 2,11,5
6 2 1 8 7,10,3
8 4 4 6 7,13,3
9 8 4 4 4 6,12,4
8 3 9 1 3 1 3,17,2
5 4 8 4 6 1,14,2
3 9 3 1 8 4 10 6 8 6,11,6
2 1 4 9 8 6 2 3 2,16,3
6 8 3 10 5 6,17,3
3 9 2 4 1 7 5 7,9,5
8 10 4 4 6 9 4 10,15,4
9 10 5 4 7 1 4 1 3,19,3
7 2 10 1 9 4 5 5,14,4
7 6 2 9 7 7 9 1,20,3
5 8 6 4 8 1,12,3
4 5 2 9 8 6 1 4,13,3
5 1 4 1 1 10 9 2 7,14,3
10 4 1 7 9 1 1 2,16,3
2 4 10 1 7,11,3
8 1 7 4 7,9,4
10 7 6 2 9 10 10 8,17,4
