,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,state_16,state_17,state_18,state_19,state_20,state_21,state_22,state_23,state_24,moves,minmumStep_to_win
0,1,1,5,5,4,5,0,0,3,3,4,5,2,4,2,4,2,1,3,3,0,0,2,1,U R,2
1,1,0,1,0,5,5,5,5,3,1,3,1,4,3,4,3,2,2,2,2,4,0,4,0,R,1
2,2,2,3,0,2,3,1,4,1,4,3,5,5,0,5,3,0,5,4,4,1,1,2,0,U' R' U2,3
3,1,5,0,2,0,3,1,1,2,1,2,3,3,5,4,5,3,4,0,4,4,2,0,5,R F' U2,3
4,4,4,5,3,1,5,2,2,0,5,1,3,0,1,2,1,2,4,0,5,3,3,0,4,U R F,3
5,3,0,3,0,1,1,5,2,5,2,4,4,0,0,3,3,4,4,5,2,5,2,1,1,U' F2,2
6,1,0,5,5,1,2,0,2,0,0,4,4,2,2,4,3,5,4,5,3,1,3,1,3,F' R',2
7,0,2,5,3,4,1,3,2,3,2,4,1,3,2,5,0,4,1,0,5,0,5,4,1,U' R2 F',3
8,3,5,2,0,2,0,2,0,1,4,1,4,5,3,0,2,5,3,5,3,1,4,1,4,R2 F,2
9,2,2,3,3,5,3,1,1,4,4,5,3,0,5,0,5,0,2,4,4,1,1,0,2,U R,2
10,1,1,5,5,1,2,5,4,0,0,3,3,4,4,2,2,5,4,1,2,3,3,0,0,U2 F',2
11,0,0,3,3,2,4,5,5,1,1,2,4,3,0,3,0,1,5,4,4,2,2,1,5,U' R2 U',3
12,3,3,0,0,2,5,2,5,4,4,4,4,3,3,0,0,2,5,2,5,1,1,1,1,F2,1
13,2,4,1,5,1,5,1,5,3,0,3,0,4,2,5,1,4,2,4,2,3,0,3,0,R2 F,2
14,4,4,5,5,4,2,0,0,3,3,4,2,2,1,2,1,5,1,3,3,0,0,5,1,U R',2
